rank,id,title,url,user_id,stocks_count,stocks_delta,likes_count,likes_delta,previous_rank,rank_delta,comments_count,page_views_count,created_at,tags
1,d526fb7cdbe35a3f9384,Claude Code／Codexに中～大規模開発を任せるためのタスク管理,https://qiita.com/Y-Y-dev/items/d526fb7cdbe35a3f9384,Y-Y-dev,327,12,301,15,1,0,1,,2026-08-02T08:38:39+09:00,"Claude,codex"
2,fe4b1810f45e4b6df166,新人AI禁止のあと、「新人AI制御教育ハーネス」を配った結果（Skill原文あり）,https://qiita.com/WdknWdkn/items/fe4b1810f45e4b6df166,WdknWdkn,131,9,189,9,2,0,1,,2026-08-19T23:48:07+09:00,"生成AI,ClaudeCode,新人プログラマ応援,AI,マネジメント"
3,438336db3684cf662321,Claude Code「/config」設定の教科書 ― 全42項目を1つずつ解説＋おすすめ設定（v2.1.220対応）,https://qiita.com/f_uto/items/438336db3684cf662321,f_uto,112,1,80,2,3,0,0,,2026-07-27T22:21:33+09:00,"ClaudeCode,Config,Claude"
4,fd8f449f1dddcc9f31fe,【インシデント報告】Defender が有効なのに、開発機で5日間マイニングされていた,https://qiita.com/claudecat/items/fd8f449f1dddcc9f31fe,claudecat,99,0,122,4,4,0,5,,2026-08-16T11:59:04+09:00,"個人開発,Security,ClaudeCode,Windows,PowerShell"
5,cea574550613de33a114,CLAUDE.md は21セクションか、8行か — 公式ドキュメントで決着をつけた,https://qiita.com/jqit_suwa/items/cea574550613de33a114,jqit_suwa,72,0,66,0,5,0,0,,2026-07-30T09:47:06+09:00,"AI,Anthropic,Claude,ClaudeCode,プロンプトエンジニアリング"
6,320b4230c0b0c169ba13,AIエージェントの作業結果、マークダウンで読むの辛くない？ →「HTML共有くん」を作りました,https://qiita.com/minorun365/items/320b4230c0b0c169ba13,minorun365,70,2,98,2,6,0,2,,2026-08-16T02:41:46+09:00,"AI,AWS,ClaudeCode,CloudFront,S3"
7,224f55bc85b813930f61,ずぼらAI駆動開発、爆誕,https://qiita.com/nobu34/items/224f55bc85b813930f61,nobu34,59,0,70,1,8,1,3,,2026-08-05T09:22:29+09:00,"AI,ClaudeCode,AI駆動開発,tips,ポエム"
8,b4a874f0bbf91d378097,自分のHTML資産を増やすと、AIで見た目の良いサイトを作りやすくなる,https://qiita.com/uni928/items/b4a874f0bbf91d378097,uni928,51,1,56,0,9,1,0,,2026-08-07T12:45:45+09:00,"HTML,JavaScript,ChatGPT,AI,Claude"
9,42537e0b14b38797d218,AIコーディングの「知識カットオフ」を埋める Context7 MCP Server,https://qiita.com/tomada/items/42537e0b14b38797d218,tomada,47,14,35,9,15,6,0,,2026-08-21T22:56:10+09:00,"MCP,Context7,ClaudeCode,cursor,AI駆動開発"
10,89fcfd2702ecba65c74d, Claude でクレジット100ドルが付与されたので、 Fable を使ってサブエージェントを作って「小規模開発チーム」基盤を作った,https://qiita.com/su3-hokkaido/items/89fcfd2702ecba65c74d,su3-hokkaido,44,1,42,0,10,0,0,,2026-07-27T21:43:26+09:00,"ClaudeCode,Claude,AI,Fable5,ハーネスエンジニアリング"
11,573178ed3b8a6a22ebb1,【便利】 Claude Codeの覚えておきたいスラッシュコマンドまとめ,https://qiita.com/tamashiro_nobuyuki/items/573178ed3b8a6a22ebb1,tamashiro_nobuyuki,39,0,34,0,11,0,0,,2026-08-06T11:00:03+09:00,"ClaudeCode,AI,開発効率化"
12,e5c56a2f7b976cfc17ea,エラーレスポンス設計の現在地2026,https://qiita.com/tatsuya582/items/e5c56a2f7b976cfc17ea,tatsuya582,38,4,72,2,14,2,0,,2026-08-14T13:36:16+09:00,"WebAPI,HTTP,API,ClaudeCode,設計"
13,1766dd6bbd308222f71b,【ClaudeCode】コスト発生要因から考えるトークン消費最適化術【トークン】,https://qiita.com/Nana_777/items/1766dd6bbd308222f71b,Nana_777,35,0,41,0,12,-1,2,,2026-07-28T06:07:03+09:00,"ClaudeCode,AWS,トークン最適化,トークン,AI"
14,a82fccf6d52c05156384,QAエンジニアの仕事が変わった——Claude CodeとPlaywrightで、テストからチケット管理まで全部AIに任せてみた話,https://qiita.com/a_sato_JQIT/items/a82fccf6d52c05156384,a_sato_JQIT,34,5,29,2,16,2,0,,2026-08-21T18:04:05+09:00,"QA,Playwright,ClaudeCode,AI,自動化"
15,ccd228bb1c33b2a918f5,Claude Code の出力を35%短くしたら、情報がむしろ増えた,https://qiita.com/jqit_suwa/items/ccd228bb1c33b2a918f5,jqit_suwa,28,1,38,4,20,5,0,,2026-08-21T08:26:22+09:00,"ClaudeCode,AI,生成AI,AIエージェント,開発環境"
16,0bfbaffce6fae70be17f,『Claude Code実践入門』を発売日に一気読みしたので感想をつらつらと,https://qiita.com/tomada/items/0bfbaffce6fae70be17f,tomada,28,0,31,0,17,1,0,,2026-08-15T08:00:36+09:00,"ClaudeCode,Claude,生成AI,AIエージェント,書評"
17,3906db61d153fe8691aa,Mermaidで書いた過去記事の図を、話題の図解スキルに食わせてみた — 色指定が全部捨てられた,https://qiita.com/jqit_suwa/items/3906db61d153fe8691aa,jqit_suwa,28,2,27,1,21,4,0,,2026-08-17T09:38:49+09:00,"AI,ClaudeCode,Qiita,mermaid,生成AI"
