rank,id,title,url,user_id,stocks_count,stocks_delta,likes_count,likes_delta,previous_rank,rank_delta,comments_count,page_views_count,created_at,tags
1,4385ac59ebefb923cf0d,これを読めば分かるClaude Code 完全攻略ガイド,https://qiita.com/s-furuya-nri/items/4385ac59ebefb923cf0d,s-furuya-nri,375,6,317,6,1,0,1,,2026-05-30T15:45:08+09:00,"Claude,AI駆動開発,AIエージェント,ClaudeCode,2025JapanAWSJr.Champions"
2,aeaee3e64e75076503fe,Claude Code を社内導入する時の最低限ガードレール5項目 — 機密情報を漏らさない設定パターン,https://qiita.com/ennagara128/items/aeaee3e64e75076503fe,ennagara128,213,1,188,1,2,0,1,,2026-05-17T12:40:01+09:00,"Security,AI,AI駆動開発,ClaudeCode,CLAUDE_md"
3,dc26f7468dcd39fbe62f,17万スター超のCLAUDE.mdに学ぶ、Claude Codeを暴走させない運用術,https://qiita.com/4q_sano/items/dc26f7468dcd39fbe62f,4q_sano,197,2,179,1,3,0,0,60106,2026-05-26T22:39:19+09:00,ClaudeCode
4,6ec24ba4942973a1ce0b,ClaudeCodeとCodexにコーディングを全て任せて商用レベルのUnityゲーム開発を行う【後編】,https://qiita.com/archeleeds/items/6ec24ba4942973a1ce0b,archeleeds,120,3,119,3,5,1,0,,2026-05-30T15:17:48+09:00,"Unity,AI,codex,AI駆動開発,ClaudeCode"
5,d8919d94f55d86e9881c,Claude Codeのskillsアイデア大全20選,https://qiita.com/kamome_susume/items/d8919d94f55d86e9881c,kamome_susume,116,3,86,2,6,1,0,,2026-05-16T11:37:08+09:00,"AI,Claude,AIエージェント,ClaudeCode"
6,61b10d10c63db47a64e7,AIエージェントのトークン代を節約するNetflixのエンジニアが作ったツール「Headroom」について調べてみた,https://qiita.com/shinkai_/items/61b10d10c63db47a64e7,shinkai_,98,1,123,0,7,1,3,,2026-06-03T09:19:10+09:00,"AI,LLM,AIエージェント,ClaudeCode,Headroom"
7,c8b5cca97554f6f64782,Claude Code x Obsidianで、LLM Wiki構築 | セッションを切り替えても会話を続けられる方法,https://qiita.com/usayamadausako/items/c8b5cca97554f6f64782,usayamadausako,88,4,83,1,8,1,0,,2026-05-30T13:17:32+09:00,"Obsidian,ClaudeCode"
8,3c8949b62ce1dfe7a024,Claude Codeに人生を管理させて3ヶ月、一番効いたのは自動化じゃなかった,https://qiita.com/ktdatascience/items/3c8949b62ce1dfe7a024,ktdatascience,79,53,101,77,14,6,0,,2026-06-11T10:25:29+09:00,"初心者,生成AI,Claude,生成AI活用,ClaudeCode"
9,47a13155032f716a43bd,【Claude Code / Codex × GAS】コピペ脱出！Google Workspace自動化レシピ7選,https://qiita.com/TMiyamoto/items/47a13155032f716a43bd,TMiyamoto,65,0,67,0,9,0,0,,2026-05-27T13:17:37+09:00,"GoogleAppsScript,自動化,codex,生成AI,ClaudeCode"
10,c61eb886faa1cee69054,日本酒記録アプリをAWSを使って作ってみた,https://qiita.com/yo_arai/items/c61eb886faa1cee69054,yo_arai,40,0,71,1,10,0,0,,2026-06-03T00:17:43+09:00,"AWS,S3,lambda,bedrock,Claude"
11,545148471e8f2b63c9a6,Claude Code と Codex の主要機能を比較する｜MCP・Skills・メモリ・Subagents・Hooks・Plugins リファレンス,https://qiita.com/nogataka/items/545148471e8f2b63c9a6,nogataka,33,0,22,0,11,0,0,,2026-06-01T11:45:06+09:00,"AI,MCP,OpenAI,codex,ClaudeCode"
12,ea44baec84417d36b85d,Claude Opus 4.8 のプロンプティング・ベストプラクティス — 公式ガイドの要点,https://qiita.com/y-morimatsu/items/ea44baec84417d36b85d,y-morimatsu,30,0,29,0,12,0,0,,2026-06-01T14:49:13+09:00,"AI,エージェント,プロンプトエンジニアリング,ClaudeCode,Opus4.8"
13,a5234436a61194e24df7,出たてほやほやのClaude Opus 4.8を整理してみた,https://qiita.com/kaichan_dot/items/a5234436a61194e24df7,kaichan_dot,28,0,46,0,13,0,0,,2026-05-29T04:38:36+09:00,"AI,駆け出しエンジニア,LLM,Claude,ClaudeCode"
14,8f88307b7cb13b748e57,AIエージェントのトークン代を節約する CLAUDE.md と copilot-instructions.md 実践ガイド  AIエージェントでは毎ターン何が起きているのか,https://qiita.com/shinkai_/items/8f88307b7cb13b748e57,shinkai_,24,1,28,1,15,1,0,,2026-06-08T08:17:13+09:00,"AI,GitHubCopilot,生成AI,AIエージェント,ClaudeCode"
15,548e71c8ff17fc543442,【Claude Code】激詰レビュワーSKILL 〜分からないコードをPRに出すな〜,https://qiita.com/kotobuki5991/items/548e71c8ff17fc543442,kotobuki5991,22,0,29,0,16,1,0,,2026-05-20T16:52:41+09:00,"レビュー,AI,SKILLS,Claude,ClaudeCode"
16,5ca0c12a8495530f7d09,Claude Code と Codex のレート残量を確認するためにブラウザを開くのをやめた話,https://qiita.com/tatsuya582/items/5ca0c12a8495530f7d09,tatsuya582,21,2,33,3,23,7,0,,2026-06-10T09:01:43+09:00,"ShellScript,codex,生成AI,Claude,ClaudeCode"
17,a072528364883ae7bb96,[ハンズオン手順書] Claude + Microsoft Foundry で AI エージェントを構築する #CodeWithClaude ,https://qiita.com/chomado/items/a072528364883ae7bb96,chomado,21,1,32,1,18,1,1,,2026-06-08T21:29:01+09:00,"ハンズオン,Claude,AIエージェント,MicrosoftFoundry"
18,a8274aef2a4c882197d6,Claude Codeのスキルが毎日勝手に改善されていく仕組みを作った,https://qiita.com/hiropon122/items/a8274aef2a4c882197d6,hiropon122,21,1,22,0,20,2,0,,2026-05-24T07:33:34+09:00,"automation,AI,ClaudeCode,AgentSkills"
19,b72789a13b0f42f2f001,Claude Code を大規模コードベースで使うときのプラクティス,https://qiita.com/TaigoKuriyama/items/b72789a13b0f42f2f001,TaigoKuriyama,21,0,17,0,17,-2,0,,2026-05-16T11:16:55+09:00,ClaudeCode
20,04b86ec7601e055c6fe8,Claude Code Action と Copilot レビューで GitHub Actions の失敗を自己修復するパイプラインを作った話,https://qiita.com/jqit-yukiono/items/04b86ec7601e055c6fe8,jqit-yukiono,20,0,23,0,19,-1,0,,2026-06-01T11:36:12+09:00,"Git,Jenkins,GitHubActions,GitHubCopilot,ClaudeCode"
21,62dd7aabb4e043c61046,【freee MCP】経理にClaudeを雇う時代？請求書下書きワークフローをSkill化してみた,https://qiita.com/TMiyamoto/items/62dd7aabb4e043c61046,TMiyamoto,20,0,21,0,21,0,0,,2026-06-09T19:56:08+09:00,"自動化,AI,freee,MCP,Claude"
22,03529caccd796a8a8dcf,Claude Codeのフックで「自分専用セカンドブレイン」を作る ─ 10本超のフック構成と実装例,https://qiita.com/tateishi-t/items/03529caccd796a8a8dcf,tateishi-t,20,0,15,0,22,0,0,,2026-06-03T21:55:33+09:00,"自動化,hooks,Obsidian,Anthropic,ClaudeCode"
23,8965ba4f5840807031cb,Claude Codeと一緒に、MagicPodのWebAPI × TypeScript自動テストを作った話,https://qiita.com/ayshiina/items/8965ba4f5840807031cb,ayshiina,19,0,27,0,24,1,0,,2026-06-02T16:45:41+09:00,"TypeScript,自動テスト,QA,MagicPod,ClaudeCode"
24,4e7c37c338fb41a275cb,離島に移住してニートしながら個人開発した話,https://qiita.com/ysmb-wtsg/items/4e7c37c338fb41a275cb,ysmb-wtsg,18,0,24,0,25,1,0,,2026-05-27T06:38:29+09:00,"iOS,ポエム,reactnative,個人開発,ClaudeCode"
25,7deae192de183eb6f8bc,今からNext.jsを始めるなら僕ならこうする話,https://qiita.com/yamu_official/items/7deae192de183eb6f8bc,yamu_official,18,2,15,4,31,6,0,,2026-06-10T15:55:54+09:00,"TypeScript,フロントエンド,React,Next.js,ClaudeCode"
26,aff2e56e4248cee1114e,【AI駆動開発】迷ったらこれ！OpenSpecチートシート【仕様駆動開発】,https://qiita.com/Nana_777/items/aff2e56e4248cee1114e,Nana_777,17,0,26,0,26,0,0,,2026-05-26T22:07:48+09:00,"AI,AI駆動開発,ClaudeCode,仕様駆動開発,Openspec"
27,747c997d65ac873addd1,学習が続かないエンジニアへ。仲間と一緒に成長できるコミュニティを作りました,https://qiita.com/ari_init/items/747c997d65ac873addd1,ari_init,17,0,25,0,27,0,0,,2026-05-29T09:33:43+09:00,"GitHub,初心者,AI,学習記録,ClaudeCode"
28,47d6f1d094dd9270b722,【AI が仕事を片付ける時代】Microsoft 365 Copilot Cowork 完全ガイド — 使い方からプラグイン開発まで,https://qiita.com/hisaho/items/47d6f1d094dd9270b722,hisaho,17,0,17,0,28,0,0,,2026-05-16T06:49:11+09:00,"MCP,Microsoft365,AgentSkills,workiq,CopilotCowork"
29,dc10f90a5aad61aad0e8,「個人で使うClaude Code」を「チームで育てるClaude Code」にする2つの仕組み,https://qiita.com/k_yamaki/items/dc10f90a5aad61aad0e8,k_yamaki,16,0,23,1,29,0,0,,2026-06-08T08:56:35+09:00,"チームビルディング,ClaudeCode"
30,c153d50810f2945897d8,「そのpromptちょうだい」と言われるけど、たぶん同じ設計書は出てこない ── engineer to delegate to で本当に効いていたもの,https://qiita.com/ntaka329/items/c153d50810f2945897d8,ntaka329,16,0,20,0,30,0,1,,2026-06-08T11:36:29+09:00,"開発プロセス,生成AI,プロンプトエンジニアリング,AIエージェント,ClaudeCode"
31,0ea0ebf709eb00230b93,Claude Code / GitHub Copilot のトークン消費を手軽に削減する2つのツール,https://qiita.com/rairaii/items/0ea0ebf709eb00230b93,rairaii,16,4,17,1,36,5,0,,2026-06-09T15:17:32+09:00,"RTK,GitHubCopilot,ClaudeCode,caveman,token削減"
32,323bc76cf2d31d9f4d42,育休中エンジニアがClaude Coworkで「あかちゃんカレンダー🍼」を作った話,https://qiita.com/yuzinet/items/323bc76cf2d31d9f4d42,yuzinet,14,1,54,1,34,2,0,,2026-05-20T13:57:30+09:00,"育休,Claude,育休エンジニアの実験記"
