rank,id,title,url,user_id,stocks_count,likes_count,comments_count,page_views_count,created_at,tags
1,dc26f7468dcd39fbe62f,16万スター超のCLAUDE.mdに学ぶ、Claude Codeを暴走させない運用術,https://qiita.com/4q_sano/items/dc26f7468dcd39fbe62f,4q_sano,78,72,0,45069,2026-05-26T22:39:19+09:00,ClaudeCode
2,47a13155032f716a43bd,【Claude Code / Codex × GAS】コピペ脱出！Google Workspace自動化レシピ7選,https://qiita.com/TMiyamoto/items/47a13155032f716a43bd,TMiyamoto,28,40,0,,2026-05-27T13:17:37+09:00,"GoogleAppsScript,自動化,codex,生成AI,ClaudeCode"
3,a8274aef2a4c882197d6,Claude Codeのスキルが毎日勝手に改善されていく仕組みを作った,https://qiita.com/hiropon122/items/a8274aef2a4c882197d6,hiropon122,16,18,0,,2026-05-24T07:33:34+09:00,"automation,AI,ClaudeCode,AgentSkills"
4,aff2e56e4248cee1114e,【AI駆動開発】迷ったらこれ！OpenSpecチートシート【仕様駆動開発】,https://qiita.com/Nana_777/items/aff2e56e4248cee1114e,Nana_777,10,21,0,,2026-05-26T22:07:48+09:00,"AI,AI駆動開発,ClaudeCode,仕様駆動開発,Openspec"
5,af5d5264d9d3045568a4,Claude CodeによるIaCコード生成の標準化　案件横断で使い回せる仕組みづくりを始めてみた話,https://qiita.com/ike_s_muramatsu/items/af5d5264d9d3045568a4,ike_s_muramatsu,10,10,0,,2026-05-23T13:24:40+09:00,"AWS,CloudFormation,インフラ,IaC,ClaudeCode"
6,a5234436a61194e24df7,出たてほやほやのClaude Opus 4.8を整理してみた,https://qiita.com/kaichan_dot/items/a5234436a61194e24df7,kaichan_dot,7,24,0,,2026-05-29T04:38:36+09:00,"AI,駆け出しエンジニア,LLM,Claude,ClaudeCode"
7,ea4e7d78651d6ed46796,Claude Code Skills のアンチパターン — 「なぜ Skills か」から考え直す設計の落とし穴,https://qiita.com/nogataka/items/ea4e7d78651d6ed46796,nogataka,6,7,0,,2026-05-28T18:02:17+09:00,"運用,AI,開発手法,SKILL,ClaudeCode"
8,cd1ab7d541cc3047ae70,AIへの依頼で毎回手戻りに疲れたので、指示書の作成自体をAIに任せた話,https://qiita.com/hirashima-gmoconnect/items/cd1ab7d541cc3047ae70,hirashima-gmoconnect,5,9,0,,2026-05-26T11:43:45+09:00,"業務効率化,生成AI,プロンプトエンジニアリング,AIエージェント,ClaudeCode"
9,747c997d65ac873addd1,学習が続かないエンジニアへ。仲間と一緒に成長できるコミュニティを作りました,https://qiita.com/ari_init/items/747c997d65ac873addd1,ari_init,5,8,0,,2026-05-29T09:33:43+09:00,"GitHub,初心者,AI,学習記録,ClaudeCode"
10,266dcb5c7a08e25d09d8,Claude Opus 4.8 を読み解く――「賢さ」から「任せられるか」へ移った設計思想とDynamic Workflows,https://qiita.com/nogataka/items/266dcb5c7a08e25d09d8,nogataka,5,7,0,,2026-05-29T10:10:55+09:00,"AI,生成AI,LLM,Anthropic,ClaudeCode"
11,cad6d18c080aa6ca812c,【kaggle】Claude CodeだけでKaggleコンペに挑んで惨敗した話,https://qiita.com/ktdatascience/items/cad6d18c080aa6ca812c,ktdatascience,5,3,0,,2026-05-23T12:42:54+09:00,"初心者,機械学習,Kaggle,MLOps,ClaudeCode"
12,3e35c460e3b18606f1f3,Bedrock Tool Use から Aurora pgvector を直接叩く — Knowledge Bases を使わない RAG の組み立て,https://qiita.com/asahide/items/3e35c460e3b18606f1f3,asahide,3,5,0,,2026-05-24T19:45:04+09:00,"Aurora,rag,bedrock,pgvector,Claude"
13,410d83f31e8d8b606ba9,あの手この手を試してもダメで、結局「読ませる形式」が問題だった話――CSVをYAMLに変えたら処理時間60%・使用量70%削減できた,https://qiita.com/inaba-yoshiko/items/410d83f31e8d8b606ba9,inaba-yoshiko,3,4,0,,2026-05-26T12:34:26+09:00,"YAML,AI,LLM,ClaudeCode,トークン最適化"
14,53986a41bfd50eee264e,AIのハルシネーションを見破る『セカンドオピニオン』調査術：Claude CodeとGitHub Copilotの比較検証フロー,https://qiita.com/oguri-gmoconnect/items/53986a41bfd50eee264e,oguri-gmoconnect,3,4,0,,2026-05-26T11:36:37+09:00,"AI,生産性向上,GitHubCopilot,LLM,ClaudeCode"
15,138038261a80f219f706,Claudeの回答が長すぎて疲れる人へ｜出力構造をPreferencesで制御して認知負荷を下げる,https://qiita.com/ktdatascience/items/138038261a80f219f706,ktdatascience,3,1,0,,2026-05-23T11:56:30+09:00,"初心者,LLM,プロンプトエンジニアリング,Claude,AI生産性"
16,5aff0a2ff21f9906c9f7,建築士がClaude Codeを自走させたら、2日で公共工事入札DB＋RAG＋記事生成SaaSが動き始めた話,https://qiita.com/architectJapan/items/5aff0a2ff21f9906c9f7,architectJapan,3,1,0,,2026-05-27T07:45:28+09:00,"cloudflare,Next.js,ChatGPT,建築士,ClaudeCode"
17,1db8f575b9e97955c977,MCPとSkillsに続く第3の革命：Claude Code WorkflowがultraworkでAgentをコードに焼き付ける,https://qiita.com/lumichy/items/1db8f575b9e97955c977,lumichy,3,1,1,,2026-05-25T22:06:27+09:00,"AI,Workflow,Agent,LLM,ClaudeCode"
18,4f043eb440066319dfa6,【決定版】Claude Code 全設定リファレンス 2026 — CLAUDE.md / Hooks / Permissions / MCP を 1 ページで網羅,https://qiita.com/LemonCake/items/4f043eb440066319dfa6,LemonCake,3,0,0,,2026-05-25T10:58:55+09:00,"設定,TypeScript,自動化,リファレンス,ClaudeCode"
